"","year","ward","cost","category","program","description"
"11353",2017,22,36575.1,"Streets & Transportation","Alley Resurfacing Menu ","2609 S ST LOUIS AVE"
"11354",2017,22,15748.17,"Streets & Transportation","Alley Resurfacing Menu ","2627 S TRUMBULL AVE"
"11355",2017,22,39682.3,"Streets & Transportation","Alley Resurfacing Menu ","2815 S TRUMBULL AVE"
"11356",2017,22,34537.3,"Streets & Transportation","Alley Resurfacing Menu ","3003 S HOMAN AVE"
"11357",2017,22,41935.14,"Streets & Transportation","Alley Resurfacing Menu ","2807 S HOMAN AVE"
"11358",2017,22,41807.78,"Streets & Transportation","Alley Resurfacing Menu ","2707 S HOMAN AVE"
"11359",2017,22,42686.08,"Streets & Transportation","Alley Resurfacing Menu ","2800 S SAWYER AVE"
"11360",2017,22,36524.16,"Streets & Transportation","Alley Resurfacing Menu ","2513 S CENTRAL PARK AVE"
"11361",2017,22,42178.07,"Streets & Transportation","Alley Resurfacing Menu ","3021 S KOSTNER AVE"
"11362",2017,22,34792.03,"Streets & Transportation","Alley Resurfacing Menu ","2816 S KARLOV AVE"
