"","description","costA","costB","ward","program","year","cost"
"168","342 W 42ND PL ","350.00",NA,"3","Street Light Upgrade",2012,350
"169","ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 ","43,800.00",NA,"3","Street Light Upgrade",2012,43800
"170","501 E 44TH PL ","350.00",NA,"3","Street Light Upgrade",2012,350
"171","ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200 ","1,800.00",NA,"3","Street Light Upgrade",2012,1800
"172","5048 S INDIANA AVE 1.00 ","427.00",NA,"3","Street Light Upgrade",2012,427
"173","ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST ","2,100.00",NA,"3","Street Light Upgrade",2012,2100
"174","ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV ","800.00",NA,"3","Street Light Upgrade",2012,800
"175","4753 S FORRESTVILLE AVE 1.00 ","500.00",NA,"3","Street Light Upgrade",2012,500
"176","E 47TH ST & E 47TH PL & S DREXEL BLVD & S COTTAGE 0.00 ","18,351.00",NA,"4","Alley Resurfacing Menu",2012,18351
"177","S GREENWOOD AVE & S ELLIS AVE & E 47TH ST & E 48TH 0.00 ","5,844.00",NA,"4","Alley Resurfacing Menu",2012,5844
"178","ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 0.00 ","60,751.00",NA,"4","Curb & Gutter Menu",2012,60751
"179","ON E 42ND PL FROM S COTTAGE GROVE AV (800 E) TO S 0.00 ","13,521.00",NA,"4","Curb & Gutter Menu",2012,13521
"180","ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S 0.00 ","29,629.00",NA,"4","Curb & Gutter Menu",2012,29629
"181","ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 0.00 ","4,216.00",NA,"4","Curb & Gutter Menu",2012,4216
"182","Harper Ave. ","200,000.00",NA,"4","Miscellaneous Other",2012,200000
"183","ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK ","19,903.00",NA,"4","Miscellaneous Other",2012,19903
"184","ON S KIMBARK AVE FROM E HYDE PARK BV (5100 S) TO E 0.00 ","20,253.00",NA,"4","Sidewalk Menu",2012,20253
"185","ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV 0.00 ","16,421.00",NA,"4","Sidewalk Menu",2012,16421
"186","ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S 0.00 ","22,812.00",NA,"4","Sidewalk Menu",2012,22812
"187","ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S 0.00 ","28,386.00",NA,"4","Sidewalk Menu",2012,28386
"188","ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End 0.00 ","11,468.00",NA,"4","Sidewalk Menu",2012,11468
"189","ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST 0.00 ","4,335.00",NA,"4","Sidewalk Menu",2012,4335
"190","ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S 0.00 ","71,664.00",NA,"4","Sidewalk Menu",2012,71664
"191","ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST 0.00 ","22,887.00",NA,"4","Sidewalk Menu",2012,22887
"192","ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S 0.50 ","22,148.00",NA,"4","Street Resurfacing Menu",2012,22148
"193","ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE 1.00 ","34,476.00",NA,"4","Street Resurfacing Menu",2012,34476
"194","ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S 1.00 ","15,299.00",NA,"4","Street Resurfacing Menu",2012,15299
"195","ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST 1.00 ","49,392.00",NA,"4","Street Resurfacing Menu",2012,49392
"196","ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV 1.00 ","52,350.00",NA,"4","Street Resurfacing Menu",2012,52350
"197","ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S) 1.00 ","39,743.00",NA,"4","Street Resurfacing Menu",2012,39743
"198","ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD 2.00 ","32,357.00",NA,"4","Street Resurfacing Menu",2012,32357
"199","ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK 1.00 ","57,448.00",NA,"4","Street Resurfacing Menu",2012,57448
"200","ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 1.00 ","38,034.00",NA,"4","Street Resurfacing Menu",2012,38034
"201","ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD 1.00 ","58,378.00",NA,"4","Street Resurfacing Menu",2012,58378
"202","ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53 2.00 ","78,733.00",NA,"4","Street Resurfacing Menu",2012,78733
"203","ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S) 3.00 ","89,974.00",NA,"4","Street Resurfacing Menu",2012,89974
"204","ON E 49TH ST FROM S DREXEL (W) AV(863 E) TO S ELLIS AV 1.00 ","41,730.00",NA,"4","Street Resurfacing Menu",2012,41730
"205","ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S) ","800.00",NA,"4","Street Light Pole Painting",2012,800
"206","ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S) ","3,850.00",NA,"4","Street Light Upgrade",2012,3850
"207","ON 41 FROM S DREXEL AV (900 E) TO S ELLIS AV (942 E) ","700.00",NA,"4","Street Light Upgrade",2012,700
"208","ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S) ","1,400.00",NA,"4","Street Light Upgrade",2012,1400
"209","ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S) ","1,400.00",NA,"4","Street Light Upgrade",2012,1400
"210","ON S ELLIS AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S) 3.00 ","1,200.00",NA,"4","Street Light Upgrade",2012,1200
"211","Sumac Park Playground - 4201 S. Champlain ","150,000.00",NA,"4","Chicago Park District",2012,150000
